# Group list,,,,
Group,Initial Balance,Initially Restricted,Schedule Amount,Schedule Period
[All Users],100,N,0,None
[Internal Users],0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,9,Y,18,Monthly
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,15,Y,30,Monthly
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
office_grp,0,Y,0,None
Teachers_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,0,Y,0,None
OFFICE_GRP,0,Y,0,None
TEACHERS_GRP,22.5,Y,30,Monthly
EVERYONE_GRP,0,Y,0,None
FOOD_GRP,0,Y,0,None
PLANT_GRP,0,Y,0,None
TRANS_GRP,0,Y,0,None
